1,1,01-02-2022 08:08:08,Fideua,2
1,1,01-02-2022 08:08:08,Tortilla,4
1,1,01-02-2022 08:08:08,Gazpacho,6
2,2,02-02-2022 10:11:12,Fideua,1
2,2,02-02-2022 10:11:12,Paella,2
3,3,03-02-2022 08:08:08,Quesadilla,5
3,3,03-02-2022 08:08:08,Gazpacho,3
4,4,04-02-2022 08:08:08,Quesadilla,5
4,5,04-02-2022 08:08:08,Gazpacho,3
5,2,05-02-2022 10:11:12,Paella,2
5,3,06-02-2022 08:08:08,Quesadilla,5
6,6,07-02-2022 08:08:08,Gazpacho,3
7,7,08-02-2022 08:08:08,Quesadilla,5
8,8,09-02-2022 10:11:12,Paella,2
8,8,09-02-2022 08:08:08,Quesadilla,5
8,8,09-02-2022 08:08:08,Gazpacho,3
10,9,10-02-2022 08:08:08,Quesadilla,5
10,7,10-02-2022 10:11:12,Paella,2
11,10,11-02-2022 08:08:08,Gazpacho,3
12,11,12-02-2022 08:08:08,Gazpacho,3
12,4,02-02-2022 10:11:12,Paella,2
